                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    118,                0.70084,                 0.5195,                 1.1879,                0.97534,                0.97914,                0.99022,                0.82075,                0.73289,                0.35775,                 1.2808,              0.0042085,              0.0042085,              0.0042085
                    119,                0.71237,                 0.5203,                 1.1914,                0.97154,                 0.9709,                0.99149,                0.82038,                0.71913,                0.36441,                 1.2621,               0.004159,               0.004159,               0.004159
                    120,                0.68718,                0.49816,                  1.164,                0.98728,                0.96624,                0.99242,                0.81308,                0.75272,                0.36867,                 1.2948,              0.0041095,              0.0041095,              0.0041095
                    121,                0.69344,                0.51543,                   1.17,                 0.9752,                0.97784,                0.99108,                0.81886,                0.73604,                0.35564,                 1.2832,                0.00406,                0.00406,                0.00406
                    122,                0.67405,                0.50296,                 1.1622,                0.97326,                0.96757,                0.98945,                0.82586,                0.72393,                0.36402,                 1.2539,              0.0040105,              0.0040105,              0.0040105
                    123,                0.68191,                  0.497,                 1.1597,                0.98456,                0.96947,                 0.9915,                0.81858,                0.72433,                0.36166,                 1.2645,               0.003961,               0.003961,               0.003961
                    124,                0.68537,                0.50061,                  1.177,                0.98187,                   0.98,                 0.9921,                0.82025,                0.73361,                0.35398,                 1.2656,              0.0039115,              0.0039115,              0.0039115
                    125,                0.66037,                0.49955,                 1.1418,                0.98013,                0.96927,                0.99212,                0.82142,                0.74117,                0.37389,                 1.2952,               0.003862,               0.003862,               0.003862
                    126,                0.68206,                0.49616,                 1.1689,                0.97715,                0.97252,                0.99184,                0.82204,                0.72508,                0.34747,                 1.2774,              0.0038125,              0.0038125,              0.0038125
                    127,                0.68544,                0.49325,                 1.1697,                0.98265,                0.96647,                0.99039,                0.81421,                0.74114,                0.38396,                 1.2786,               0.003763,               0.003763,               0.003763
                    128,                 0.6623,                0.48842,                 1.1518,                0.97231,                0.98367,                0.99232,                0.81344,                0.73632,                0.37656,                  1.269,              0.0037135,              0.0037135,              0.0037135
                    129,                0.65532,                0.48803,                 1.1558,                0.98585,                 0.9839,                0.99332,                 0.8223,                0.73737,                0.35033,                 1.2689,               0.003664,               0.003664,               0.003664
                    130,                0.67294,                0.49325,                  1.165,                0.98082,                0.97854,                0.99332,                0.82368,                0.73101,                0.36269,                  1.272,              0.0036145,              0.0036145,              0.0036145
                    131,                0.65704,                0.47768,                 1.1455,                0.97014,                0.97345,                0.99086,                0.81835,                 0.7589,                 0.3543,                  1.288,               0.003565,               0.003565,               0.003565
                    132,                0.66585,                 0.4992,                 1.1572,                0.97479,                0.97346,                0.99144,                0.81687,                0.74858,                0.36087,                 1.2849,              0.0035155,              0.0035155,              0.0035155
                    133,                0.64528,                0.47985,                 1.1453,                0.97189,                0.98398,                0.99231,                0.81584,                 0.7296,                0.34785,                 1.2673,               0.003466,               0.003466,               0.003466
                    134,                0.66038,                0.49485,                 1.1525,                0.97578,                0.97763,                0.99235,                0.81897,                0.74305,                0.34747,                 1.2858,              0.0034165,              0.0034165,              0.0034165
                    135,                0.65381,                0.47789,                 1.1498,                0.98359,                0.97307,                0.99162,                0.82223,                0.74059,                0.34629,                 1.2886,               0.003367,               0.003367,               0.003367
                    136,                 0.6427,                  0.469,                 1.1339,                0.98466,                0.97259,                0.99298,                0.82088,                0.74694,                 0.3576,                 1.3004,              0.0033175,              0.0033175,              0.0033175
                    137,                0.63492,                0.47646,                 1.1352,                0.98409,                0.97694,                 0.9932,                0.82011,                0.72083,                0.35332,                 1.2689,               0.003268,               0.003268,               0.003268
                    138,                0.63789,                0.46909,                 1.1417,                0.97569,                0.97722,                0.99135,                 0.8134,                 0.7256,                0.35341,                 1.2752,              0.0032185,              0.0032185,              0.0032185
                    139,                0.64856,                0.47802,                 1.1463,                0.97321,                0.97876,                  0.992,                0.82401,                 0.7186,                0.34318,                 1.2671,               0.003169,               0.003169,               0.003169
                    140,                0.65146,                 0.4768,                 1.1504,                0.98216,                0.96586,                0.98958,                0.81456,                0.73801,                0.35805,                 1.2938,              0.0031195,              0.0031195,              0.0031195
                    141,                0.63693,                  0.473,                 1.1381,                 0.9885,                0.95637,                0.98879,                0.82171,                0.73037,                0.35015,                  1.274,                0.00307,                0.00307,                0.00307
